id,symbols,countries,date,value
480,CNY,Chinese Yuan,2023-08-01,7.900735
481,CNY,Chinese Yuan,2023-08-02,7.870117
482,CNY,Chinese Yuan,2023-08-03,7.845367
483,CNY,Chinese Yuan,2023-08-04,7.905607
484,CNY,Chinese Yuan,2023-08-05,7.905166
485,CNY,Chinese Yuan,2023-08-06,7.856949
486,CNY,Chinese Yuan,2023-08-07,7.914645
487,CNY,Chinese Yuan,2023-08-08,7.9085
488,CNY,Chinese Yuan,2023-08-09,7.914247
489,CNY,Chinese Yuan,2023-08-10,7.923851
490,CNY,Chinese Yuan,2023-08-11,7.934446
491,CNY,Chinese Yuan,2023-08-12,7.933967
492,CNY,Chinese Yuan,2023-08-13,7.933983
493,CNY,Chinese Yuan,2023-08-14,7.934534
494,CNY,Chinese Yuan,2023-08-15,7.927327
